CODE,CATEGORY
G8431,CODE_MHI_DEPRESSION
G8511,CODE_MHI_DEPRESSION
G8940,CODE_MHI_DEPRESSION
G9193,CODE_MHI_DEPRESSION
G8126,CODE_MHI_DEPRESSION
G8127,CODE_MHI_DEPRESSION
G9194,CODE_MHI_DEPRESSION
G9195,CODE_MHI_DEPRESSION
G8959,CODE_MHI_DEPRESSION
G9212,CODE_MHI_DEPRESSION
G8960,CODE_MHI_DEPRESSION
G9213,CODE_MHI_DEPRESSION
G9232,CODE_MHI_DEPRESSION
G9621,CODE_SUD_ALCOHOL
