time_iso8601,stars_cumulative
2022-03-21 00:00:00+00:00,1
2022-08-09 00:00:00+00:00,2
2023-08-24 00:00:00+00:00,3
2024-01-25 00:00:00+00:00,4
2024-05-06 00:00:00+00:00,5
2024-07-26 00:00:00+00:00,6
