time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,16,9,0,0
2026-06-17 00:00:00+00:00,14,6,1,1
2026-06-18 00:00:00+00:00,30,12,0,0
2026-06-19 00:00:00+00:00,48,17,0,0
2026-06-20 00:00:00+00:00,60,19,0,0
2026-06-21 00:00:00+00:00,41,15,0,0
2026-06-22 00:00:00+00:00,51,19,3,1
2026-06-23 00:00:00+00:00,83,21,0,0
2026-06-24 00:00:00+00:00,15,5,0,0
2026-06-25 00:00:00+00:00,21,8,0,0
2026-06-26 00:00:00+00:00,14,9,1,1
2026-06-27 00:00:00+00:00,11,6,1,1
2026-06-28 00:00:00+00:00,20,11,1,1
2026-06-29 00:00:00+00:00,27,11,0,0
