time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-07 00:00:00+00:00,6,6,,
2025-09-08 00:00:00+00:00,6,5,,
2025-09-09 00:00:00+00:00,3,3,,
2025-09-10 00:00:00+00:00,4,4,2.0,2.0
2025-09-11 00:00:00+00:00,7,4,1.0,1.0
2025-09-12 00:00:00+00:00,7,7,,
2025-09-13 00:00:00+00:00,7,7,,
2025-09-14 00:00:00+00:00,5,5,2.0,2.0
2025-09-15 00:00:00+00:00,9,8,,
2025-09-16 00:00:00+00:00,4,4,1.0,1.0
2025-09-17 00:00:00+00:00,14,10,2.0,2.0
2025-09-18 00:00:00+00:00,10,9,3.0,2.0
2025-09-19 00:00:00+00:00,4,4,,
2025-09-20 00:00:00+00:00,4,2,,
