time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-02 00:00:00+00:00,20,12,0,0
2026-02-03 00:00:00+00:00,7,5,1,1
2026-02-04 00:00:00+00:00,18,8,1,1
2026-02-05 00:00:00+00:00,14,8,3,2
2026-02-06 00:00:00+00:00,9,7,1,1
2026-02-07 00:00:00+00:00,6,4,0,0
2026-02-08 00:00:00+00:00,14,8,1,1
2026-02-09 00:00:00+00:00,14,9,1,1
2026-02-10 00:00:00+00:00,11,5,1,1
2026-02-11 00:00:00+00:00,5,3,0,0
2026-02-12 00:00:00+00:00,13,7,0,0
2026-02-13 00:00:00+00:00,12,6,0,0
2026-02-14 00:00:00+00:00,9,5,0,0
2026-02-15 00:00:00+00:00,12,6,0,0
