time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-29 00:00:00+00:00,8,7,1.0,1.0
2025-11-30 00:00:00+00:00,7,7,,
2025-12-01 00:00:00+00:00,46,16,1.0,1.0
2025-12-02 00:00:00+00:00,5,4,,
2025-12-03 00:00:00+00:00,103,31,,
2025-12-04 00:00:00+00:00,13,9,,
2025-12-05 00:00:00+00:00,14,10,,
2025-12-06 00:00:00+00:00,13,9,,
2025-12-07 00:00:00+00:00,5,5,,
2025-12-08 00:00:00+00:00,15,9,,
2025-12-09 00:00:00+00:00,9,5,,
2025-12-10 00:00:00+00:00,8,4,,
2025-12-11 00:00:00+00:00,3,3,,
2025-12-12 00:00:00+00:00,1,1,1.0,1.0
