time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,,,0.0,0.0
2026-02-14 00:00:00+00:00,9.0,5.0,0.0,0.0
2026-02-15 00:00:00+00:00,12.0,6.0,0.0,0.0
2026-02-16 00:00:00+00:00,19.0,11.0,0.0,0.0
2026-02-17 00:00:00+00:00,17.0,7.0,0.0,0.0
2026-02-18 00:00:00+00:00,18.0,8.0,0.0,0.0
2026-02-19 00:00:00+00:00,6.0,4.0,0.0,0.0
2026-02-20 00:00:00+00:00,18.0,8.0,1.0,1.0
2026-02-21 00:00:00+00:00,20.0,12.0,0.0,0.0
2026-02-22 00:00:00+00:00,15.0,9.0,0.0,0.0
2026-02-23 00:00:00+00:00,32.0,15.0,1.0,1.0
2026-02-24 00:00:00+00:00,11.0,7.0,4.0,3.0
2026-02-25 00:00:00+00:00,20.0,8.0,3.0,2.0
2026-02-26 00:00:00+00:00,20.0,10.0,2.0,2.0
2026-02-27 00:00:00+00:00,21.0,11.0,,
