time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-25 00:00:00+00:00,9,5,0,0
2026-01-26 00:00:00+00:00,21,11,2,2
2026-01-27 00:00:00+00:00,12,6,1,1
2026-01-28 00:00:00+00:00,7,5,0,0
2026-01-29 00:00:00+00:00,8,6,2,1
2026-01-30 00:00:00+00:00,14,8,2,1
2026-01-31 00:00:00+00:00,12,6,0,0
2026-02-01 00:00:00+00:00,20,10,1,1
2026-02-02 00:00:00+00:00,20,12,0,0
2026-02-03 00:00:00+00:00,7,5,1,1
2026-02-04 00:00:00+00:00,18,8,1,1
2026-02-05 00:00:00+00:00,14,8,3,2
2026-02-06 00:00:00+00:00,9,7,1,1
2026-02-07 00:00:00+00:00,6,4,0,0
