time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-25 00:00:00+00:00,7.0,3.0,3.0,2.0
2025-06-26 00:00:00+00:00,13.0,6.0,2.0,2.0
2025-06-27 00:00:00+00:00,14.0,7.0,,
2025-06-28 00:00:00+00:00,15.0,9.0,,
2025-06-29 00:00:00+00:00,15.0,8.0,,
2025-06-30 00:00:00+00:00,21.0,9.0,3.0,2.0
2025-07-01 00:00:00+00:00,13.0,7.0,1.0,1.0
2025-07-02 00:00:00+00:00,13.0,7.0,1.0,1.0
2025-07-03 00:00:00+00:00,16.0,10.0,,
2025-07-04 00:00:00+00:00,13.0,7.0,,
2025-07-05 00:00:00+00:00,10.0,4.0,,
2025-07-06 00:00:00+00:00,14.0,8.0,1.0,1.0
2025-07-07 00:00:00+00:00,24.0,13.0,,
2025-07-08 00:00:00+00:00,,,1.0,1.0
