time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-28 00:00:00+00:00,15,9,,
2025-06-29 00:00:00+00:00,15,8,,
2025-06-30 00:00:00+00:00,21,9,3.0,2.0
2025-07-01 00:00:00+00:00,13,7,1.0,1.0
2025-07-02 00:00:00+00:00,13,7,1.0,1.0
2025-07-03 00:00:00+00:00,16,10,,
2025-07-04 00:00:00+00:00,13,7,,
2025-07-05 00:00:00+00:00,10,4,,
2025-07-06 00:00:00+00:00,14,8,1.0,1.0
2025-07-07 00:00:00+00:00,24,13,,
2025-07-08 00:00:00+00:00,9,3,1.0,1.0
2025-07-09 00:00:00+00:00,24,12,,
2025-07-10 00:00:00+00:00,12,5,,
2025-07-11 00:00:00+00:00,5,3,,
