time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-29 00:00:00+00:00,10,4,4.0,2.0
2025-08-30 00:00:00+00:00,11,5,,
2025-08-31 00:00:00+00:00,9,3,,
2025-09-01 00:00:00+00:00,18,7,5.0,1.0
2025-09-02 00:00:00+00:00,13,7,1.0,1.0
2025-09-03 00:00:00+00:00,5,5,1.0,1.0
2025-09-04 00:00:00+00:00,7,7,2.0,1.0
2025-09-05 00:00:00+00:00,5,5,1.0,1.0
2025-09-06 00:00:00+00:00,6,6,,
2025-09-07 00:00:00+00:00,6,6,,
2025-09-08 00:00:00+00:00,6,5,,
2025-09-09 00:00:00+00:00,3,3,,
2025-09-10 00:00:00+00:00,4,4,2.0,2.0
2025-09-11 00:00:00+00:00,4,1,1.0,1.0
