time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,9,3,,
2025-08-25 00:00:00+00:00,22,10,1.0,1.0
2025-08-26 00:00:00+00:00,11,5,,
2025-08-27 00:00:00+00:00,11,5,,
2025-08-28 00:00:00+00:00,14,8,,
2025-08-29 00:00:00+00:00,10,4,4.0,2.0
2025-08-30 00:00:00+00:00,11,5,,
2025-08-31 00:00:00+00:00,9,3,,
2025-09-01 00:00:00+00:00,18,7,5.0,1.0
2025-09-02 00:00:00+00:00,13,7,1.0,1.0
2025-09-03 00:00:00+00:00,5,5,1.0,1.0
2025-09-04 00:00:00+00:00,7,7,2.0,1.0
2025-09-05 00:00:00+00:00,5,5,1.0,1.0
