time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-05 00:00:00+00:00,10,4,,
2025-07-06 00:00:00+00:00,14,8,1.0,1.0
2025-07-07 00:00:00+00:00,24,13,,
2025-07-08 00:00:00+00:00,9,3,1.0,1.0
2025-07-09 00:00:00+00:00,24,12,,
2025-07-10 00:00:00+00:00,12,5,,
2025-07-11 00:00:00+00:00,14,6,,
2025-07-12 00:00:00+00:00,12,6,,
2025-07-13 00:00:00+00:00,11,5,2.0,1.0
2025-07-14 00:00:00+00:00,22,10,,
2025-07-15 00:00:00+00:00,16,10,2.0,1.0
2025-07-16 00:00:00+00:00,10,4,,
2025-07-17 00:00:00+00:00,9,3,1.0,1.0
