time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,3,3,1.0,1.0
2025-10-29 00:00:00+00:00,6,6,,
2025-10-30 00:00:00+00:00,10,4,,
2025-10-31 00:00:00+00:00,14,4,1.0,1.0
2025-11-01 00:00:00+00:00,11,6,,
2025-11-02 00:00:00+00:00,3,3,,
2025-11-03 00:00:00+00:00,20,9,3.0,2.0
2025-11-04 00:00:00+00:00,9,8,,
2025-11-05 00:00:00+00:00,4,4,1.0,1.0
2025-11-06 00:00:00+00:00,13,8,,
2025-11-07 00:00:00+00:00,20,8,1.0,1.0
2025-11-08 00:00:00+00:00,7,7,,
2025-11-09 00:00:00+00:00,4,4,,
2025-11-10 00:00:00+00:00,12,5,1.0,1.0
