time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,17,7,1.0,1.0
2025-10-19 00:00:00+00:00,18,8,1.0,1.0
2025-10-20 00:00:00+00:00,10,8,,
2025-10-21 00:00:00+00:00,15,5,1.0,1.0
2025-10-22 00:00:00+00:00,11,6,,
2025-10-23 00:00:00+00:00,13,7,,
2025-10-24 00:00:00+00:00,15,5,,
2025-10-25 00:00:00+00:00,5,5,,
2025-10-26 00:00:00+00:00,7,6,,
2025-10-27 00:00:00+00:00,16,10,2.0,2.0
2025-10-28 00:00:00+00:00,3,3,1.0,1.0
2025-10-29 00:00:00+00:00,6,6,,
2025-10-30 00:00:00+00:00,10,4,,
2025-10-31 00:00:00+00:00,12,2,1.0,1.0
