time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-27 00:00:00+00:00,11,4,,
2025-07-28 00:00:00+00:00,20,9,,
2025-07-29 00:00:00+00:00,10,4,1.0,1.0
2025-07-30 00:00:00+00:00,11,5,1.0,1.0
2025-07-31 00:00:00+00:00,9,3,1.0,1.0
2025-08-01 00:00:00+00:00,9,3,,
2025-08-02 00:00:00+00:00,11,5,1.0,1.0
2025-08-03 00:00:00+00:00,11,5,9.0,2.0
2025-08-04 00:00:00+00:00,17,6,,
2025-08-05 00:00:00+00:00,12,6,,
2025-08-06 00:00:00+00:00,11,5,,
2025-08-07 00:00:00+00:00,11,5,1.0,1.0
2025-08-08 00:00:00+00:00,9,3,1.0,1.0
2025-08-09 00:00:00+00:00,1,1,1.0,1.0
