time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,27,15,0,0
2026-04-07 00:00:00+00:00,5,5,0,0
2026-04-08 00:00:00+00:00,6,4,0,0
2026-04-09 00:00:00+00:00,15,6,3,2
2026-04-10 00:00:00+00:00,24,8,0,0
2026-04-11 00:00:00+00:00,15,9,0,0
2026-04-12 00:00:00+00:00,13,9,3,3
2026-04-13 00:00:00+00:00,27,12,0,0
2026-04-14 00:00:00+00:00,37,11,3,3
2026-04-15 00:00:00+00:00,26,9,7,7
2026-04-16 00:00:00+00:00,32,12,0,0
2026-04-17 00:00:00+00:00,37,13,0,0
2026-04-18 00:00:00+00:00,37,14,1,1
2026-04-19 00:00:00+00:00,38,18,2,2
