time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,40,16,2,2
2026-05-05 00:00:00+00:00,27,11,4,4
2026-05-06 00:00:00+00:00,28,9,0,0
2026-05-07 00:00:00+00:00,19,8,0,0
2026-05-08 00:00:00+00:00,24,13,1,1
2026-05-09 00:00:00+00:00,33,12,0,0
2026-05-10 00:00:00+00:00,19,7,0,0
2026-05-11 00:00:00+00:00,25,11,0,0
2026-05-12 00:00:00+00:00,26,11,1,1
2026-05-13 00:00:00+00:00,30,11,4,2
2026-05-14 00:00:00+00:00,13,8,0,0
2026-05-15 00:00:00+00:00,19,14,3,2
2026-05-16 00:00:00+00:00,26,17,1,1
2026-05-17 00:00:00+00:00,32,11,0,0
