time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,22,10,0,0
2026-04-28 00:00:00+00:00,26,9,0,0
2026-04-29 00:00:00+00:00,71,18,0,0
2026-04-30 00:00:00+00:00,27,10,1,1
2026-05-01 00:00:00+00:00,35,11,0,0
2026-05-02 00:00:00+00:00,45,14,0,0
2026-05-03 00:00:00+00:00,3,3,0,0
2026-05-04 00:00:00+00:00,40,16,2,2
2026-05-05 00:00:00+00:00,27,11,4,4
2026-05-06 00:00:00+00:00,28,9,0,0
2026-05-07 00:00:00+00:00,19,8,0,0
2026-05-08 00:00:00+00:00,24,13,1,1
2026-05-09 00:00:00+00:00,33,12,0,0
2026-05-10 00:00:00+00:00,19,7,0,0
