time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,13.0,7.0,,
2025-07-05 00:00:00+00:00,10.0,4.0,,
2025-07-06 00:00:00+00:00,14.0,8.0,1.0,1.0
2025-07-07 00:00:00+00:00,24.0,13.0,,
2025-07-08 00:00:00+00:00,9.0,3.0,1.0,1.0
2025-07-09 00:00:00+00:00,24.0,12.0,,
2025-07-10 00:00:00+00:00,12.0,5.0,,
2025-07-11 00:00:00+00:00,14.0,6.0,,
2025-07-12 00:00:00+00:00,12.0,6.0,,
2025-07-13 00:00:00+00:00,11.0,5.0,2.0,1.0
2025-07-14 00:00:00+00:00,22.0,10.0,,
2025-07-15 00:00:00+00:00,16.0,10.0,2.0,1.0
2025-07-16 00:00:00+00:00,10.0,4.0,,
2025-07-17 00:00:00+00:00,,,1.0,1.0
