time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-18 00:00:00+00:00,16,8,0,0
2026-01-19 00:00:00+00:00,17,9,0,0
2026-01-20 00:00:00+00:00,16,6,0,0
2026-01-21 00:00:00+00:00,19,9,0,0
2026-01-22 00:00:00+00:00,5,5,0,0
2026-01-23 00:00:00+00:00,17,9,0,0
2026-01-24 00:00:00+00:00,11,6,0,0
2026-01-25 00:00:00+00:00,9,5,0,0
2026-01-26 00:00:00+00:00,21,11,2,2
2026-01-27 00:00:00+00:00,12,6,1,1
2026-01-28 00:00:00+00:00,7,5,0,0
2026-01-29 00:00:00+00:00,8,6,2,1
2026-01-30 00:00:00+00:00,14,8,2,1
2026-01-31 00:00:00+00:00,12,6,0,0
