time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-30 00:00:00+00:00,7.0,7.0,,
2025-12-01 00:00:00+00:00,46.0,16.0,1.0,1.0
2025-12-02 00:00:00+00:00,5.0,4.0,,
2025-12-03 00:00:00+00:00,103.0,31.0,,
2025-12-04 00:00:00+00:00,13.0,9.0,,
2025-12-05 00:00:00+00:00,14.0,10.0,,
2025-12-06 00:00:00+00:00,13.0,9.0,,
2025-12-07 00:00:00+00:00,5.0,5.0,,
2025-12-08 00:00:00+00:00,15.0,9.0,,
2025-12-09 00:00:00+00:00,9.0,5.0,,
2025-12-10 00:00:00+00:00,8.0,4.0,,
2025-12-11 00:00:00+00:00,3.0,3.0,,
2025-12-12 00:00:00+00:00,11.0,7.0,1.0,1.0
2025-12-13 00:00:00+00:00,,,31.0,5.0
