time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-04 00:00:00+00:00,5,4,1.0,1.0
2025-05-05 00:00:00+00:00,12,7,,
2025-05-06 00:00:00+00:00,5,4,,
2025-05-07 00:00:00+00:00,6,5,,
2025-05-08 00:00:00+00:00,3,3,5.0,2.0
2025-05-09 00:00:00+00:00,10,7,,
2025-05-10 00:00:00+00:00,4,4,,
2025-05-11 00:00:00+00:00,7,4,2.0,1.0
2025-05-12 00:00:00+00:00,8,6,4.0,3.0
2025-05-13 00:00:00+00:00,6,3,1.0,1.0
2025-05-14 00:00:00+00:00,5,4,3.0,2.0
2025-05-15 00:00:00+00:00,4,4,1.0,1.0
2025-05-16 00:00:00+00:00,4,4,1.0,1.0
2025-05-17 00:00:00+00:00,2,2,,
