time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,22,10,0,0
2026-06-11 00:00:00+00:00,31,12,0,0
2026-06-12 00:00:00+00:00,24,8,0,0
2026-06-13 00:00:00+00:00,29,12,1,1
2026-06-14 00:00:00+00:00,28,10,2,1
2026-06-15 00:00:00+00:00,37,14,0,0
2026-06-16 00:00:00+00:00,16,9,0,0
2026-06-17 00:00:00+00:00,14,6,1,1
2026-06-18 00:00:00+00:00,30,12,0,0
2026-06-19 00:00:00+00:00,48,17,0,0
2026-06-20 00:00:00+00:00,60,19,0,0
2026-06-21 00:00:00+00:00,41,15,0,0
2026-06-22 00:00:00+00:00,51,19,3,1
2026-06-23 00:00:00+00:00,83,21,0,0
